Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
0.000211154765916061,0.043835131268543,0.000944071778197972,0,0.192349380318076,0,1.01641602042513,0.464778766242081,0.0748107329758378,0.0653762545782394,1.1711744343549e-06,0.00409240224052761,0.0757019309192752,0.000847253350496934,0,0,0,0,0.00162801479960986,0.0116231549094814,6.60738567833219e-05,0,0,0,0,0,5.43546183222429e-19,2.47088630964329e-18,0.000847253350496934,0.539589499217919,0,0.000944071778197972
0.00447421427550627,0,0.00135064331219833,0.00132123569921341,0.220755903886505,0.00968915994486948,0,0.673005923972797,0.809190729138133,0.0585377199207691,0.0200543074979643,0.0128002787217889,0.0223025693449034,0.0163905614344207,0.0234966126972097,0.00760671489549473,1.2356595654817e-05,0.00373466766394534,1.6394980251067e-05,0.00951212939122772,0.000403890457233173,0,0,0,0,3.61469110233863e-18,6.90633376444294e-20,8.80532528280762e-19,0.0398871741316304,1.48219665311093,0.0172958748403642,0.00136299990785315
0.00330557260853101,0.0613224325634564,0.00426343444043211,0,0.179196347064219,0.0192984833669033,0.240616724745277,0.647939894140871,0.658386818155348,0.0610632015515681,4.99452643373152e-06,0.0615884387579452,0.303968066714556,0.00152336003348037,0,0.0167187935365041,0.00252700274366027,0,0.000293484522371992,0.0133077264256945,0.00984795633004015,0,0,0,0,1.82713326178546e-18,1.82360161756567e-18,6.44250490750621e-19,0.00152336003348037,1.30632671229622,0.0360172769034074,0.00679043718409238
0.00517783072073801,0.0155790681635865,0.00119388077683121,0,0.197881824441093,0,0.0111020710627215,0.647150966114222,0.689107663807108,0.106365144895161,0,0.035989966984387,0,0,0.100332284701614,0,0,0.0173720512006988,0.00255594581569996,0.0397732115310069,2.24787703915039e-07,0,0,0,0,0,0,1.49423636162782e-17,0.100332284701614,1.33625862992133,0,0.00119388077683121
0,0.00269514870262168,0,0,0.23561890522642,0.038261731219601,0.529892849657526,0.497273421374624,0.888645724714071,0.067814391431646,2.86407544451942e-06,0,0.0322505820715457,0.0905982996222924,0.00313166143913213,0.0287691952455604,0,0.0321538797054527,0,0.0431760416787721,0.000298967085278593,0,0,0,0,1.1444577791644e-17,5.46223236402881e-18,0,0.0937299610614246,1.38591914608869,0.0670309264651615,0
0,0,0,0.000831779514993992,0.284349040547929,0.017635787651203,0.381257334954982,0.64758786637162,0.950298004929479,0.119810659733537,1.57640248038462e-07,0.00949659838181181,0.0573880604012663,0.0450456909947071,0.00734443549566909,0.020958439307537,0,0,0.0360051272307591,0.00246510333027565,4.67660556706888e-05,0,0,0,0,4.99826269031975e-19,3.51518025257031e-18,3.54400352945782e-18,0.0523901264903762,1.5978858713011,0.03859422695874,0
0,0.000155623399968733,0.000930258654211793,0,0.332526678324163,0.00946549736395817,0.0603602828917963,0.577798865690193,1.06284202186944,0.123334297233294,2.81581522569997e-07,0.0189237672089901,0,0.00185927552102944,0,7.1334082130073e-05,0.000123497391101538,0,0.00179160554805483,0.023262906287976,0.000134530078980413,0,0,0,0,3.54680832543769e-19,0,1.43817474795413e-18,0.00185927552102944,1.64064088755964,0.00953683144608824,0.00105375604531333
0,0.0384641710906571,0.00398592354750184,0,0.281933709192462,0.00923338405399323,0.285321783891535,0.497356799930434,1.21217862359807,0.157017707176059,2.29721457787492e-06,0.0184887210238245,0.0389017322864013,0.0459307773787749,0.00405148234931702,0,0.00874248661010561,0.0348380098141787,0.00568521262279943,0.0787182980702539,0.000125317596420435,0,0,0,0,0,7.16413731424265e-18,7.85283737947955e-18,0.0499822597280919,1.7095354235285,0.00923338405399323,0.0127284101576074
0,0.00997052969537941,0.0025265870057586,0,0.311238754217622,0.00517587549557811,0.228905435609022,0.622561289624295,0.89943678199164,0.170146647012213,6.54003271583073e-07,0.0212601262887392,0.10582842226751,0.0490439676326801,0,0,0.00102718836542353,0.00898268978251881,0.000383731415406022,0.0175872366623501,9.4101347747971e-06,0,0,0,0,3.56239854457921e-18,2.23438140783831e-18,8.99373461636284e-18,0.0490439676326801,1.52199807161593,0.00517587549557811,0.00355377537118213
0,0,0,0,0.3087437818274,0.00852604391842429,0.299418149436766,0.569083747128484,0.907042505903356,0.204433066982027,8.21898107571535e-07,0.026634310513349,0.0723029934085874,0.000634676278766937,0.0205703836335674,0.00334472602730882,0.0213317430695629,0.00325779777752979,0.00115944798319055,0.015614494347174,1.14496100555544e-06,0,0,0,0,7.0056188452629e-18,0,0,0.0212050599123343,1.47612625303184,0.0118707699457331,0.0213317430695629
