Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
6.00080386020845e-07,0,0.0307309573568658,0.0204703383606308,0.224105580976038,0.00411496103023282,0.212813048147685,0.0965517367648983,1.12545056892035,1.09865550751615e-07,0.00754588625736944,0.00592508216749099,1.30643247141669,0.113292762692913,0.00335763667748326,0,0,0.000138672303025158,0.000142029186643992,3.38787088476061e-05,0.0011205591017706,0,0.00114890866706037,0.000891149316951605,6.14538901628877e-18,5.79056939748921e-18,0,1.41972523410961,1.22200230568525,0.00747259770771608,0.0307309573568658
0,0.00139432970578849,0,0.000155893789193306,0.251957724669755,0.00462800799454744,0.188186623140665,0.0553934104353783,1.29870526961642,1.37902275954234e-07,0.0434241584368409,0,1.58199175037729,0.199072221560767,0.00418115071137656,0,0,0.000111559905906058,0,6.45114456161811e-06,0,0,0,0,0,0,4.9180266697755e-19,1.78106397193806,1.3540986800518,0.008809158705924,0
0.000960658900505793,0.000514741174295802,0,0.057719600994849,0.293657136132851,0.00246760651942868,0.260643867908169,0.0497048553982069,1.2326767586198,6.46383804986791e-07,0.0156780329764652,0.00717664351398638,1.58283581090448,0.179446248549074,0.00229515480886471,0,0,0.000788866599300028,0.00843200815914769,2.00192357402077e-05,0,0,0,0,0,0,3.56162357722599e-18,1.76228205945356,1.28238161401801,0.00476276132829338,0
0.000653853242622614,0.000479572257775262,8.57224742210512e-05,0.000145136165793617,0.267506269415743,0.00387344125445514,0.198271930476746,0.0301985040116094,1.1811663053319,1.54428474516648e-07,0.0131518629854614,0.0093705630514026,1.22160510642117,0.127669359451025,0.00680154242235733,0.00105555886371326,0,9.73992365262121e-05,0,3.16719269620439e-05,1.86048846147365e-06,0,3.30623797331691e-07,2.10558477217624e-07,1.90635766138952e-18,1.16336165247674e-18,0,1.34927446587219,1.21136480934351,0.0106749836768125,0.00114128133793431
0,0.0125982128550647,0,0.00020838121542019,0.163239628187131,0.00495122777281817,0.207541209916521,0.184057497135965,1.08168401617439,8.66457582688377e-09,0.00485455743930104,0.00222996786383317,1.38938717988882,0.0784077337078972,0.00435579015130851,0,0,4.80699887945084e-05,0,0.000365288061754033,0.0139968120798282,0.005932519219209,0,0.00318112282215039,6.40465613006722e-18,5.07213359899416e-18,0,1.46779491359672,1.26574151331035,0.00930701792412668,0
0,0.00187385116464982,0,0.000267185854104761,0.207337498974696,0.00435156320041421,0.287629880135949,0.185833289299598,1.25918405541472,3.74411183317784e-07,0.00515815526326728,5.82720403496122e-06,1.46759556199033,0.0974172488952368,0.00430569160591784,0,0,0,0,6.39350200769545e-05,0.00358538576115797,0,0,0,3.83381671648015e-18,7.475492744969e-19,1.80829924180269e-18,1.56501281088557,1.44501734471432,0.00865725480633204,0
0,0.011298391008931,0,0.012090774610694,0.213326891587849,0.00533511958748065,0.221683815667718,0.163111710651478,1.23274282528072,0.00661244278792919,0.00734723570357734,0.00104553160919733,1.37530845858707,0.148271536347807,0.00452980011700566,0,0,4.42570727610508e-05,0,0.00912712456696298,0,0,0,0,5.93264356040512e-19,7.12561461552383e-19,2.44628159535994e-18,1.52357999493487,1.3958545359322,0.00986491970448631,0
0,0.00633230688497104,0,0.02121191395972,0.187840028852039,0.00440545775976007,0.225057149184397,0.0961756741122132,1.2891297172163,5.10066916928008e-08,0.00506966841058014,0,1.60742222803205,0.161204664728174,0.00327151443172391,0,0,0.000141464016619684,0,0.000311168746658128,0.0041286156727915,0.00980629546360813,0,0,0,5.65885856512503e-19,1.79346214002445e-18,1.76862689276022,1.38530539132851,0.00767697219148397,0
0,0.00124443892108419,0,0.000122036812184625,0.164192509800728,0.00446276123450176,0.230871906722425,0.1142874569554,1.056950959301,3.03103420183865e-09,0.00566952338111675,0.00579129395234638,1.44120226022234,0.111589745359046,0.00394673759513571,0,0,0,0,4.84239078639165e-05,0,0,0,4.1060661253489e-05,4.46080197186347e-19,1.77410157244478e-18,0,1.55279200558139,1.1712384162564,0.00840949882963748,0
0,0.00198013659417318,0,0.000255475909193651,0.169547203116433,0.00395372976148863,0.206145863171376,0.0936159967052015,1.19489623236868,1.46622224950975e-08,0.00650470437039326,0.00566141933887372,1.40045820505822,0.139779530665885,0.00311301697964219,0,0,0.000144547425810554,0,0.000238759356961491,0,0,0,0.013461533355097,1.77317832609301e-18,4.7322345505987e-18,1.25274100245562e-18,1.54023773572411,1.28851222907388,0.00706674674113082,0
0,0.000289913252086697,0,3.52927087055349e-05,0.202779180254403,0.00421374179896895,0.254000357249735,0.140497596931933,1.20093491943004,0.0245498554384462,0.0105022804057325,0,1.50804869506604,0.105348953256452,0.00288156094972269,0,0.00194350515189493,0.0866591695552944,0.0144607312849869,3.36551858798388e-05,0,0,0,0,1.53157975355201e-18,7.53422270240009e-19,1.46315709881893e-18,1.61339764832249,1.34143251636198,0.00709530274869165,0
0,0.00748657197896721,0.00713315308683274,0,0.161871829051596,0.00340865974692568,0.181679813434497,0.065349799389389,1.05933184828338,6.03748007409851e-08,0.00658077244882369,0.010980808177092,1.22672330058553,0.175485642339097,0.00247610969747663,0,0,3.07675721592086e-05,0,3.90789210720712e-05,0,0,0,0,0,2.27620885661369e-18,0,1.40220894292463,1.12468164767277,0.00588476944440232,0.00713315308683274
