Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
0,0.0192337741097016,0,0.00131951915726701,0.278807928900552,0,1.10815297233092,0.592232328972571,0.26016777645158,3.03036034769613e-06,0.00280562402904258,0.0385456652113927,0.0482418841556933,0,0,0,0,0.000248224693890905,0.000338977679132812,0.000411873387739332,0,2.73727356016698e-05,0.000715820957892978,0.00126624754360628,0,0,0,0.0482418841556933,0.852400105424151,0,0
0,0.0732606002453866,0,0,0.206523420662842,0.0230235459642239,0.697612103659179,0.369216628376706,0.928701836370897,1.89699970711204e-06,0.00169439853636875,0.0816761454405598,0.0712663785849173,0.0201451651634829,0.036221613540112,0,0,0.00108026166642971,0.0119268622506748,0.000201317247198392,0,0.000168732798031965,0,0,4.42475828896593e-18,9.9077208512725e-19,2.85930863311441e-18,0.0914115437484002,1.2979184647476,0.0592451595043359,0
0,0.0788987742736635,0,0,0.340285146672591,0,0.685396450253353,0.358829881658699,0.714797708403272,3.47522477040403e-06,0.0313972506860029,0.0882924999588862,0.0288984026540702,0,0,0,0,0,0,3.87751173730006e-05,0,0,0,0,0,0,0,0.0288984026540702,1.07362759006197,0,0
0,0.0250431878409157,0,0,0.216816990995057,0.00798811569903051,0.0750194185537503,0.657585742865905,1.25941177930571,3.64095202646949e-06,0,0,0.0318210779576856,0,0,0.0636507311980442,0.00838453736607876,0,0.029801792645893,0.00503964074054475,0.0287766909734548,0,0,0,0,1.04738220085965e-17,2.88834213647159e-18,0.0318210779576856,1.91699752217162,0.00798811569903051,0.0636507311980442
0,0.116657440952074,0,0.00230303199433503,0.0863121806784932,0.00542926430475307,0.456384639896052,0.491566945760054,0.165695702758197,0,0.0180780872295268,0.0712392706149821,0,0.087665258580337,0.00539214462195228,0,0,0.000501591682754969,0.0323711396057468,0.00417659078990305,0,0.0214303661239897,0,0,0,0,1.19180558760835e-17,0.087665258580337,0.657262648518251,0.0108214089267054,0
0,0.130752260357251,0,0,0.0984552464687878,0.0106643448295697,0.609897928476134,0.565112545136506,0.0513232135889653,0,0.0180353007470694,0.0293301043081576,0,0.0046876450793123,0.0335378410400094,0,0.0108437676323394,0.00190187448510438,0.0395839851813676,0.000136075366235717,0,0,0,0,0,0,2.64161976783613e-18,0.0046876450793123,0.616435758725472,0.0442021858695791,0
0,0.0189458373395535,0.020080287626041,0.000676331833766086,0.108521422151753,0.0024991628578535,0.83843890803607,0.168761060647261,0.0958568894687121,1.66509703219487e-07,0.00766109770687416,0,0.000363345867719043,0.0556965672088321,0.00109468948683755,0,0,0.000411337524690569,0,0.011598794887227,0,0,0,0,0,0,7.98190109560881e-19,0.0560599130765511,0.264617950115973,0.00359385234469105,0.020080287626041
0.0155510812089306,0.173981628162472,0,0,0.124276677834836,0.0042995967220124,0.29879175244966,0.602276988594483,0.176168310991827,0,0.0891229418049856,0.00458195983753133,0,0.188906798225668,0,0,0,0.00136877439334611,0.00386421499604569,1.59174904050543e-05,0.00307299688534163,0,0,0.00142258518130247,2.33199919233681e-18,5.34867858146519e-19,0,0.188906798225668,0.77844529958631,0.0042995967220124,0
0,0.0422571756637526,0,0.000410789301642239,0.172341739392015,1.22907999696594e-05,1.04646044606959,0.122450609445047,0.0236296990522943,1.70248042981947e-07,0.0188114620586129,0.0557542332923496,0,0.0532297112533645,0,0,0,0.000601440275854384,0.00258692548107584,3.17202737629622e-05,0,0,0,0,0,6.2003689437079e-18,1.22257269805517e-18,0.0532297112533645,0.146080308497341,1.22907999696594e-05,0
0,0.0285267780730081,0,0,0.0987469989562945,0.000503073446542152,0.933170930320859,0.142529625108763,0,1.09502066778212e-06,0.00591939280406684,0,0.00490936161686085,0.0734849231500646,0,0,0,0,0,0.00960476166232374,0.0791110446966847,0,0.0525116612246186,0.0076055126323377,1.54174624263933e-18,0,7.73100424649791e-18,0.0783942847669255,0.142529625108763,0.000503073446542152,0
