Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
0.00127030705937122,4.21850068120997e-07,7.43360860034502e-05,0,0.268559807817775,0.00477503364221443,0.321288944245548,0.474648147627982,1.27686858174766,0.0718406596679945,3.56660589866879e-10,0.00476893848179403,0.140107266952831,1.28001733429324,0.0911307824600247,0.00346890658261816,0,0.024126715229223,0.000280626900838728,0.00537982205608496,0.221199072286476,0,0,0,0,0,0,5.7292917635599e-18,1.37114811675327,1.75151672937565,0.00824394022483259,7.43360860034502e-05
0.0163396411174039,0.00550347662881539,5.26447904535186e-05,0,0.162485200452608,0.0300968272290365,0.381004489102684,0.502936935553381,1.61463463909095,0.0321570794986083,4.22462957345108e-08,0.00588533268845333,0.227278414755899,1.76446844216249,0.134119512885861,0.00364239487058291,0,0.00148085010749922,0.000189116336323054,0.00285938396433781,0.291203006137659,0,0,0,0.00047058733328452,0,1.09898817648426e-17,0,1.89858795504835,2.11757157464433,0.0337392220996195,5.26447904535186e-05
0.00409479924359947,0.00862178049106512,0.047433942424398,0,0.222374220329895,0.0051073385320235,0.542057283743381,0.731101979227366,1.58797427368995,0.034240622279359,0.0326142659292773,0.00698114541450961,0.345379503545241,1.62523470571726,0.11013133955148,0.00394427325264783,0,0.00393874370409056,0.000740016515801662,0.0137785259841546,0.260560745315271,0.00951827850200833,0,0,0,1.60002956116809e-17,0,2.66229030275855e-17,1.73536604526874,2.31907625291731,0.00905161178467133,0.047433942424398
0.000300082867849176,9.3192504787412e-05,0,0.000128228635416484,0.231069961531738,0.00364889517851307,0.350045443302467,0.45036288578833,1.13661607304988,0.116666099700246,0,0.0033079243378937,0.21262458629153,1.28917329605715,0.0963304652488695,0.00352168602747739,0,0.0174639654718951,0.000147456537090327,0.00268677000952599,0.221734799648608,0,0.00914371894330311,0,0,2.81956577892842e-17,0,0,1.38550376130602,1.58697895883821,0.00717058120599047,0
0,8.09718104440958e-06,0,0.000478503502874607,0.238944586553014,0.00441605002023157,0.266538266322987,0.352831700696616,1.02309777828594,0.124081464237999,0,0.00434676232362245,0.0735610423352237,1.52341979291586,0.129134039807968,0.0037091995963999,0,0.0197974719131773,0.00882552204875455,0.00668999906392931,0.223492247973083,0,0,0,0,1.54930793656376e-18,6.10181553436189e-19,3.76892548444823e-19,1.65255383272382,1.37592947898256,0.00812524961663148,0
0,0.000622579856070648,0,0.000427073816561354,0.255863883988159,0.00433116536975364,0.301774119778726,0.355813452819046,1.05328942781987,0.12968345963692,3.24025545251348e-10,0.00253546529822274,0.00386854797050004,1.48120721707189,0.167879177218777,0.00368169850319361,0.000101071064346033,0.00972808496165764,9.33571432295464e-05,0.00205903515335704,0.217483275243881,0,0.00358521435217342,0.0025075707186448,0.00293635683859864,0,0,0,1.64908639429067,1.40910288063892,0.00801286387294724,0.000101071064346033
0.00735860398729322,0.00801443431367525,0,0.000428819206511683,0.259163206397799,0.00483053905486615,0.247655731742542,0.337408836893918,1.11242042984184,0.0945148527426552,0.00360598722031065,0.0047178292576757,0.0408105496368255,1.39333141341208,0.223365953008718,0.00515210213710318,0,0.00523757090026192,0.000189949938073748,0.00797163550143822,0.203601034448902,0,0,0,0,0,0,0,1.6166973664208,1.44982926673575,0.00998264119196933,0
0,0.0153226736710631,0,0.000246947441587013,0.270693820331367,0.00470805869500831,0.223337096835993,0.253642492325676,1.15389615181542,0.116975676319942,0.02832103286839,0.00325546410678951,0.0186529453990381,1.61010717694146,0.216362001307894,0.00313778728398954,0,0.00557320368772413,0.000324911858069026,0.00406316330218004,0.275480171069351,0,0,0,0,1.14216318970137e-18,1.99097394822175e-18,0,1.82646917824936,1.40753864414109,0.00784584597899785,0
0,0.01054359440812,0,0.000336005960662038,0.233430102430114,0.00409984056504406,0.250466652984502,0.27658561890377,0.983933971740416,0.117395770471844,4.99338923281739e-11,0.00403732420426758,0.00412524010744418,1.54183903249393,0.194268927702657,0.00319880991128233,1.01731203564489e-06,0.00488887214787074,0.000159608630808335,0.00319835467675026,0.221522608970098,0,0,0,0,0,2.94051358001642e-19,0,1.73610796019659,1.26051959064419,0.00729865047632639,1.01731203564489e-06
2.08441608993657e-08,0.000168094247154288,0,0.000511100062723229,0.22802842787943,0.00312776075362399,0.25142082865074,0.310715358954934,1.10935943846213,0.113519935959705,0.0122607042312541,0.00490913898711327,0,1.54872853779961,0.216707482783241,0.00221230619433127,0.00750699163144863,0.0125740636914529,0.000303137416778366,0.00525281315729302,0.158027870562507,0.00579843427120894,0.00355512194118062,0.0062299580176444,0,2.4955185768449e-19,3.84168318947925e-18,0,1.76543602058285,1.42007479741707,0.00534006694795526,0.00750699163144863
